0,1,2,3,4,5
10930EECS101000,邏輯設計Logic Design,"馬席彬MA, HSI-PIN馮開明FENG, KAI-MING",88,3.13,1.34
10930EECS111100,計算機程式設計Introduction to Programming,"盧振華LU, CHEN-HUA",41,3.5,1.33
10930EECS301000,企業實習Industry Internship,電資院,19,3.38,1.03
10930EMBA508000,高階主管會計Advanced Management Accounting,"周建宏CHOU, CHIEN-HUNG",47,4.18,0.16
10930EMIM500400,人工智慧程式基礎訓練Python Foundation Course,"周志遠CHOU, JERRY",18,4.12,0.18
10930EMIM500500,統計分析軟體基礎訓練Statistical Analysis Using Computer Software,"吳建瑋WU, CHIEN-WEI",18,4.07,0.19
10930HSS 313400,拉丁美洲史History of Latin America,"李毓中LEE, YU-CHUNG",23,4.1,0.48
10930IEEM301000,作業研究一Operations Research (I),"梁雅鈞LIANG, YA-CHUN",14,2.39,0.73
10930IEEM491000,生產管理Production Management,"陳子立CHEN, TZU-LI",19,3.64,0.65
10930IEM 560100,作業研究與應用Operations research and applications,"洪一峯HUNG, YI-FENG",24,3.92,0.17
10930JADN510100,教育研究法Introduction to Educational Research Methodology,"余季音Yu, Chi-Ying",14,3.98,0.14
10930JADN530200,繪畫創作研究Study of Painting,"吳宇棠WU, YU-TANG",15,3.9,0.24
10930JADN530400,水墨創作研究Study of Chinese Ink Painting,"胡以誠HU, YI-CHENG",5,3.86,0.34
10930JADN621100,台灣藝術史研究Study of Taiwan Art History,"張晴文CHANG, CHING-WEN",26,3.9,0.14
10930JADN630800,造型藝術創作研究Study of Plastic Art,"蕭銘芚SHIAU, MING-TWEN",20,4.26,0.11
10930KSS 110100,人體解剖生理學Human Anatomy Physiology,"林貴福LIN, KUEI-FU",2,1.7,0
10930KSS 355500,運動教育學Sport Pedagogy,"劉先翔LIU, HSIEN-HSIANG",6,3.33,1.07
10930LANG104001,進修英文Fundamentals of English,"林靜枝LIN, CHING-CHIH",22,3.16,0.91
10930LANG104002,進修英文Fundamentals of English,"李偉哲LEE, WEI-CHE",21,3.32,0.66
10930LANG104003,進修英文Fundamentals of English,"李偉哲LEE, WEI-CHE",19,2.6,1.29
10930LSBT525400,DNA受損修復特論Special topic on DNA damage repair,"桑自剛SANG, TZU-KANG",3,4.3,0
10930LSSN525300,頭足動物行為特論Special topic in cephalopod behavior,"焦傳金CHIAO, CHUAN-CHIN",4,4.05,0.43
10930LST 540500,專利法實務演練Case Study on Patent Law,"馮博生VON, BO-SEN",10,4.09,0.14
10930MATH101000,微積分一(數學系)Calculus (I),"蔡一豪TSAI, YI-HAO",73,1.9,1.41
10930MATH102000,微積分二(數學系)Calculus (II),"劉振宏LIU, CHEN-HUNG",87,2.38,1.49
10930MATH103000,微積分Ｂ一Calculus I,"張廷暉CHANG, TING-HUI",97,1.38,1.23
10930MATH104000,微積分Ｂ二Calculus II,"黃柏鈞HUANG, PO-CHUN",156,2.84,1.14
10930MBA 502700,會計學Accounting,"周建宏CHOU, CHIEN-HUNG",61,4.16,0.15
10930MBA 502900,團隊建立與管理Team Building and Leadership,"李傳楷LEE, CHUAN-KAI",47,4.26,0.1
10930MBA 552200,研究方法Research Methods,"李傳楷LEE, CHUAN-KAI洪世章HUNG, SHIH-CHANG余士迪YU, SHIH-TI",25,4.2,0.14
10930MBA 552900,團隊建立與管理Team Building and Leadership,"李傳楷LEE, CHUAN-KAI",11,4.3,0
10930MBA 557100,消費者行為Consumer Behavior,"王貞雅WANG, CHEN-YA",27,4.09,0.62
10930MFB 500500,財務及計量導論Introduction to Business and Quantitative Finance,"林哲群LIN, CHE-CHUN黃裕烈HUANG, YU-LIEH",24,4.3,0
10930TEE 200300,國民小學數學教材教法Pedagogy of Mathematics in Elementary School,"吳志榮WU, CHIN-JUNG",14,4.19,0.14
10930TEE 201100,國民小學社會教材教法Methods and Materials: Elementary Society Technology,"周秋惠CHOU, CHIOU-HUI",13,4.14,0.22
10930TEE 201600,國民小學自然科學教材教法Teaching Materials and Methods of Natural Sciences in Elementary School,"陳復琴TSCHEN, EDELGARD李秉諺LEE，PINGYEN",28,3.83,0.15
10930TEE 300800,輔導原理與實務Principle and Practice of Guidance,"曾煥淦TSENG, HUAN-KAN",41,4.3,0
10930TEE 300900,教育研究法Introduction to Educational Research Methodology,"謝傳崇HSIEH, CHUAN-CHUNG李慧潔LI, HUI-CHIEH",17,3.89,0.98
10930TEE 303500,教育議題專題Special Issues on Education,"謝傳崇HSIEH, CHUAN-CHUNG曾文鑑TSENG, WUN-JIAN",26,3.93,0.21
